RT;leg;div;strate;hum;phos;ary;glu;ure;NH4
38;Leg+;Div1;4;13.1578947368421;19.24;2.25;6.93;2.68;0.350096739265492
39;Leg+;Div2;1;8.39160839160841;18.82;1.93;7.59;2.12;0.354684603282429
39;Leg+;Div2;2;5.59440559440563;18.48;1.84;6.52;2.34;0.365514670117139
39;Leg+;Div2;3;6.55737704918036;19.35;1.78;6.25;2.11;0.32879168717002
39;Leg+;Div2;4;13.7404580152672;18.14;2.54;0;1.88;0.355533374362725
40;Leg+;Div3;1;5.81395348837209;18.86;2.07;6.95;2.46;0.501319650418974
40;Leg+;Div3;2;7.76699029126218;19.31;1.96;6.5;2.67;0.461682769429253
40;Leg+;Div3;3;7.69230769230771;20.43;1.96;6.95;2.33;0.450081616327657
40;Leg+;Div3;4;12.1212121212121;18.45;2.13;7.21;2.27;0.499303791043646
41;Leg-;Div1;1;7.19999999999998;15.67;1.72;6.52;1.56;0.289646649593471
41;Leg-;Div1;2;6.25;14.69;1.81;5.88;1.02;0.277790117926637
41;Leg-;Div1;3;6.66666666666665;15.51;1.89;5.6;1.11;0.27652140844773
41;Leg-;Div1;4;11.7117117117117;16.79;2.26;6.93;1.2;0.316024865272743
42;Leg+;Div2;1;7.08661417322839;12.49;1.92;7.03;2.24;0.347352170687865
42;Leg+;Div2;2;8.39694656488548;11.96;1.96;6.92;1.72;0.335110061854507
42;Leg+;Div2;3;5.99999999999999;12.02;1.83;6.36;1.87;0.322467394347233
42;Leg+;Div2;4;13.82113821;13.35;2.16;7.46;1.62;0.411349406
