no;div;leg;distance;id_jour;id_loca;id_taxo;DW;LA
19;Div0;Leg+;24;44;RT19_d+24;Ger_disse;23.3;269.124
20;Div1;Leg+;-24;44;RT20_d-24;Tri_alexa;70.3999999999997;562.541
20;Div1;Leg+;-21;44;RT20_d-21;Ger_disse;10.6999999999999;
20;Div1;Leg+;-18;44;RT20_d-18;Tri_alexa;10.2;57.475
20;Div1;Leg+;-15;44;RT20_d-15;Bra_napus;3090;18437.859
20;Div1;Leg+;-12;44;RT20_d-12;Lol_peren;246.3;1240.813
20;Div1;Leg+;-9;44;RT20_d-9;Tri_alexa;42.5999999999999;481.34
20;Div1;Leg+;-6;44;RT20_d-6;Ver_persi;143.5;1106.425
20;Div1;Leg+;-3;44;RT20_d-3;Tri_alexa;14.2;88.842
20;Div1;Leg+;0;44;RT20_d0;Bra_napus;2527.3;15596.927
20;Div1;Leg+;3;44;RT20_d+3;Ger_disse;2.10000000000014;34.743
20;Div1;Leg+;6;44;RT20_d+6;Tri_alexa;16.3000000000001;104.024
20;Div1;Leg+;9;44;RT20_d+9;Lol_peren;527.699999999999;2987.134
20;Div1;Leg+;12;44;RT20_d+12;Tri_alexa;92.8000000000001;1041.002
20;Div1;Leg+;15;44;RT20_d+15;Bra_napus;1108.1;7805.701
20;Div1;Leg+;18;44;RT20_d+18;Ver_persi;3.5;
20;Div1;Leg+;21;44;RT20_d+21;Tri_alexa;26.4999999999998;272.117
20;Div1;Leg+;24;44;RT20_d+24;Ger_disse;21;171.33
21;Div2;Leg-;-24;43;RT21_d-24;Lol_peren;18.6000000000002;
21;Div2;Leg-;-24;44;RT21_d-24;Lol_peren;52.8899999999999;
21;Div2;Leg-;-18;43;RT21_d-18;Ver_persi;10.5000000000004;
21;Div2;Leg-;-18;44;RT21_d-18;Ver_persi;8.9999999999999;
21;Div2;Leg-;-15;43;RT21_d-15;Bra_napus;843.1;
21;Div2;Leg-;-15;44;RT21_d-15;Bra_napus;2172.039626;
21;Div2;Leg-;-12;43;RT21_d-12;Lol_peren;10.4000000000002;
21;Div2;Leg-;-12;44;RT21_d-12;Lol_peren;15.46;
21;Div2;Leg-;-9;43;RT21_d-9;Ger_disse;11.5000000000001;
21;Div2;Leg-;-9;44;RT21_d-9;Ger_disse;9.81999999999994;
21;Div2;Leg-;-3;43;RT21_d-3;Lol_peren;100.1;
21;Div2;Leg-;-3;44;RT21_d-3;Lol_peren;76.1000000000003;
21;Div2;Leg-;0;44;RT21_d0;Bra_napus;2717.4;
21;Div2;Leg-;3;43;RT21_d+3;Ger_disse;5.70000000000026;
21;Div2;Leg-;3;44;RT21_d+3;Ger_disse;9.09000000000004;
21;Div2;Leg-;6;43;RT21_d+6;Ver_persi;18.7000000000002;
21;Div2;Leg-;6;44;RT21_d+6;Ver_persi;22.3200000000001;
21;Div2;Leg-;9;43;RT21_d+9;Lol_peren;332.3;
21;Div2;Leg-;9;44;RT21_d+9;Lol_peren;348.4;
21;Div2;Leg-;12;43;RT21_d+12;Ger_disse;9.2000000000001;
21;Div2;Leg-;12;44;RT21_d+12;Ger_disse;14.24;
21;Div2;Leg-;15;43;RT21_d+15;Bra_napus;494.2;
21;Div2;Leg-;15;44;RT21_d+15;Bra_napus;841.399999999999;
21;Div2;Leg-;18;43;RT21_d+18;Ver_persi;12.6000000000002;
21;Div2;Leg-;18;44;RT21_d+18;Ver_persi;20.8600000000001;
21;Div2;Leg-;21;43;RT21_d+21;Lol_peren;322.7;
21;Div2;Leg-;21;44;RT21_d+21;Lol_peren;383.56;
21;Div2;Leg-;24;43;RT21_d+24;Ger_disse;10.3000000000002;
21;Div2;Leg-;24;44;RT21_d+24;Ger_disse;30.3199999999999;
22;Div3;Leg-;-24;43;RT22_d-24;Lol_peren;154.14;
22;Div3;Leg-;-21;43;RT22_d-21;Ger_disse;21.5099999999999;
22;Div3;Leg-;-18;43;RT22_d-18;Ver_persi;26.4700000000004;
22;Div3;Leg-;-15;43;RT22_d-15;Bra_napus;3293.5;
22;Div3;Leg-;-12;43;RT22_d-12;Lol_peren;365.22;
22;Div3;Leg-;-9;43;RT22_d-9;Ger_disse;8.49999999999995;
22;Div3;Leg-;-6;43;RT22_d-6;Ver_persi;63.4499999999999;
22;Div3;Leg-;-3;43;RT22_d-3;Lol_peren;420.6;
22;Div3;Leg-;0;43;RT22_d0;Bra_napus;446.09;
22;Div3;Leg-;6;43;RT22_d+6;Ver_persi;36.4400000000001;
22;Div3;Leg-;9;43;RT22_d+9;Lol_peren;246.83;
22;Div3;Leg-;12;43;RT22_d+12;Ger_disse;9.20999999999994;
22;Div3;Leg-;15;43;RT22_d+15;Bra_napus;774.2;
22;Div3;Leg-;18;43;RT22_d+18;Ver_persi;24.1500000000003;
22;Div3;Leg-;21;43;RT22_d+21;Lol_peren;240.91;
22;Div3;Leg-;24;43;RT22_d+24;Ger_disse;48.3499999999999;
23;Div0;Leg-;-24;43;RT23_d-24;Lol_peren;218.5;
23;Div0;Leg-;-21;43;RT23_d-21;Ger_disse;17.72;
23;Div0;Leg-;-18;43;RT23_d-18;Ver_persi;48.7999999999999;
23;Div0;Leg-;-15;43;RT23_d-15;Bra_napus;19.8900000000002;
