RT;div;leg;distance;id_jour;id_loca;id_taxo;RLMax
17;Div2;Leg+;-24;43;RT17_d-24;Tri_alexa;18.4
17;Div2;Leg+;-18;43;RT17_d-18;Tri_alexa;17.6
17;Div2;Leg+;-15;43;RT17_d-15;Bra_napus;93.3
17;Div2;Leg+;-12;43;RT17_d-12;Lol_peren;69.1
17;Div2;Leg+;-9;43;RT17_d-9;Tri_alexa;37.8
17;Div2;Leg+;-6;43;RT17_d-6;Ver_persi;8.6
17;Div2;Leg+;-3;43;RT17_d-3;Tri_alexa;61
17;Div2;Leg+;0;43;RT17_d0;Bra_napus;14.2
17;Div2;Leg+;3;43;RT17_d+3;Ger_disse;2.8
17;Div2;Leg+;6;43;RT17_d+6;Tri_alexa;17.8
17;Div2;Leg+;9;43;RT17_d+9;Lol_peren;52.6
17;Div2;Leg+;21;43;RT17_d+21;Tri_alexa;41.6
17;Div2;Leg+;24;43;RT17_d+24;Ger_disse;27.1
18;Div3;Leg+;-24;43;RT18_d-24;Tri_alexa;22
18;Div3;Leg+;-18;43;RT18_d-18;Tri_alexa;22.5
18;Div3;Leg+;-15;43;RT18_d-15;Bra_napus;77.5
18;Div3;Leg+;-12;43;RT18_d-12;Lol_peren;37.5
18;Div3;Leg+;-6;43;RT18_d-6;Ver_persi;3
18;Div3;Leg+;-3;43;RT18_d-3;Tri_alexa;40
18;Div3;Leg+;0;43;RT18_d0;Bra_napus;86.2
18;Div3;Leg+;3;43;RT18_d+3;Ger_disse;9
18;Div3;Leg+;6;43;RT18_d+6;Tri_alexa;56.5
18;Div3;Leg+;9;43;RT18_d+9;Lol_peren;53
18;Div3;Leg+;12;43;RT18_d+12;Tri_alexa;7
18;Div3;Leg+;15;43;RT18_d+15;Bra_napus;43.7
18;Div3;Leg+;21;43;RT18_d+21;Tri_alexa;14.5
18;Div3;Leg+;24;43;RT18_d+24;Ger_disse;2
19;Div0;Leg+;-24;44;RT19_d-24;Tri_alexa;21.5
19;Div0;Leg+;-21;44;RT19_d-21;Ger_disse;3.2
